SOORTNR,FLORON,WETENSCHAP,NEDERLANDS,zeldzaamheidsklasse,trendklasse,RL2000,RL2000kort
931,,"Phleum arenarium","Zanddoddegras",,,,
932,,"Phleum pratense subsp. pratense","Timoteegras s.s.",,,,
933,,"Phragmites australis","Riet",,,,
934,,"Asplenium scolopendrium","Tongvaren",,,,
935,,"Phyteuma spicatum subsp. nigrum","Zwartblauwe rapunzel","zz","t","KW-6","KW"
936,,"Phyteuma spicatum subsp. spicatum","Witte rapunzel","zzz","t","KW-5","KW"
937,,"Picris echioides","Dubbelkelk",,,,
938,,"Picris hieracioides","Echt bitterkruid",,,,
939,,"Pilularia globulifera","Pilvaren",,,,
940,,"Pimpinella major","Grote bevernel",,,,
941,,"Pimpinella saxifraga","Kleine bevernel",,,,
942,,"Pinguicula vulgaris","Vetblad","zzz","ttt","EB-13","EB"
943,,"Pinus sylvestris","Grove den",,,,
944,,"Plantago coronopus","Hertshoornweegbree",,,,
945,,"Plantago major subsp. intermedia","Getande weegbree",,,,
946,,"Plantago lanceolata","Smalle weegbree",,,,
947,,"Plantago major subsp. major","Grote weegbree s.s.",,,,
948,,"Plantago maritima","Zeeweegbree","z","tt","KW-11","KW"
949,,"Plantago media","Ruige weegbree","z","ttt","KW-15","KW"
950,,"Platanthera bifolia","Welriekende nachtorchis","zz","ttt","BE-14","BE"
951,,"Platanthera chlorantha","Bergnachtorchis","zzz","t","KW-5","KW"
952,,"Poa annua","Straatgras",,,,
953,,"Poa bulbosa","Knolbeemdgras",,,,
954,,"Poa chaixii","Bergbeemdgras",,,,
955,,"Poa compressa","Plat beemdgras",,,,
956,,"Poa nemoralis","Schaduwgras",,,,
957,,"Poa palustris","Moerasbeemdgras",,,,
958,,"Poa pratensis","Veldbeemdgras",,,,
959,,"Poa trivialis","Ruw beemdgras",,,,
960,,"Polycnemum arvense","Akkerknarkruid",,,,
961,,"Polygala comosa","Kuifvleugeltjesbloem","zzz","t","KW-5","KW"
962,,"Polygala serpyllifolia","Liggende vleugeltjesbloem","z","tt","KW-11","KW"
963,,"Polygala vulgaris","Gewone vleugeltjesbloem s.l.","a","tt","GE-12","GE"
964,,"Polygonatum multiflorum","Gewone salomonszegel",,,,
965,,"Polygonatum odoratum","Welriekende salomonszegel",,,,
966,,"Polygonatum verticillatum","Kranssalomonszegel","zzz","tt","BE-9","BE"
967,,"Persicaria amphibia","Veenwortel",,,,
968,,"Polygonum aviculare","Gewoon varkensgras",,,,
969,,"Persicaria bistorta","Adderwortel",,,,
970,,"Fallopia convolvulus","Zwaluwtong",,,,
971,,"Fallopia dumetorum","Heggeduizendknoop",,,,
972,,"Persicaria hydropiper","Waterpeper",,,,
973,,"Persicaria lapathifolia","Beklierde duizendknoop",,,,
974,,"Polygonum maritimum","Strandvarkensgras",,,,
975,,"Persicaria minor","Kleine duizendknoop",,,,
976,,"Persicaria mitis","Zachte duizendknoop",,,,
977,,"Persicaria maculosa","Perzikkruid",,,,
978,,"Polypodium vulgare","Gewone eikvaren",,,,
979,,"Polystichum aculeatum","Stijve naaldvaren","zzz","0/+","GE-1","GE"
980,,"Populus alba","Witte abeel",,,,
981,,"Populus x canescens","Grauwe abeel",,,,
982,,"Populus nigra","Zwarte populier",,,,
983,,"Populus tremula","Ratelpopulier",,,,
984,,"Portulaca oleracea","Postelein",,,,
985,,"Potamogeton acutifolius","Spits fonteinkruid","z","t","KW-7","KW"
986,,"Potamogeton alpinus","Rossig fonteinkruid",,,,
987,,"Potamogeton berchtoldii","Klein fonteinkruid",,,,
988,,"Potamogeton coloratus","Weegbreefonteinkruid","zzz","0/+","GE-1","GE"
989,,"Potamogeton compressus","Plat fonteinkruid","z","t","KW-7","KW"
990,,"Potamogeton crispus","Gekroesd fonteinkruid",,,,
991,,"Groenlandia densa","Paarbladig fonteinkruid",,,,
992,,"Potamogeton mucronatus","Puntig fonteinkruid",,,,
993,,"Potamogeton gramineus","Ongelijkbladig fonteinkruid","zz","tt","BE-10","BE"
994,,"Potamogeton lucens","Glanzig fonteinkruid",,,,
995,,"Potamogeton natans","Drijvend fonteinkruid",,,,
996,,"Potamogeton nodosus","Rivierfonteinkruid",,,,
997,,"Potamogeton obtusifolius","Stomp fonteinkruid","z","t","KW-7","KW"
998,,"Potamogeton pectinatus","Schedefonteinkruid",,,,
999,,"Potamogeton perfoliatus","Doorgroeid fonteinkruid",,,,
1000,,"Potamogeton polygonifolius","Duizendknoopfonteinkruid",,,,
1001,,"Potamogeton praelongus","Langstengelig fonteinkruid","zzz","tt","BE-9","BE"
1002,,"Potamogeton pusillus","Tenger fonteinkruid",,,,
1003,,"Potamogeton trichoides","Haarfonteinkruid",,,,
1004,,"Potamogeton x zizii","Gegolfd fonteinkruid","zzz","0/+","GE-1","GE"
1005,,"Potentilla anglica","Kruipganzerik",,,,
1006,,"Potentilla anserina","Zilverschoon",,,,
1007,,"Potentilla argentea","Viltganzerik",,,,
1008,,"Potentilla erecta","Tormentil",,,,
1009,,"Potentilla intermedia","Middelste ganzerik",,,,
1010,,"Potentilla reptans","Vijfvingerkruid",,,,
1011,,"Potentilla sterilis","Aardbeiganzerik","zz","t","KW-6","KW"
1012,,"Potentilla supina","Liggende ganzerik",,,,
1013,,"Potentilla verna","Voorjaarsganzerik",,,,
1014,,"Primula elatior","Slanke sleutelbloem",,,,
1015,,"Primula veris","Gulden sleutelbloem","zz","t","KW-6","KW"
1016,,"Primula vulgaris","Stengelloze sleutelbloem","zzz","tt","BE-9","BE"
1017,,"Prunella vulgaris","Gewone brunel",,,,
1018,,"Prunus avium","Zoete kers",,,,
1019,,"Prunus padus","Vogelkers",,,,
1020,,"Prunus serotina","Amerikaanse vogelkers",,,,
1021,,"Prunus spinosa","Sleedoorn",,,,
1022,,"Pteridium aquilinum","Adelaarsvaren",,,,
1023,,"Puccinellia distans subsp. distans","Stomp kweldergras s.s.",,,,
1024,,"Puccinellia fasciculata","Blauw kweldergras","zzz","0/+","GE-1","GE"
1025,,"Puccinellia maritima","Gewoon kweldergras",,,,
1027,,"Puccinellia distans subsp. borealis","Bleek kweldergras",,,,
1028,,"Puccinellia rupestris","Dichtbloemig kweldergras","x","tttt","VN-17","VN"
1029,,"Pulicaria dysenterica","Heelblaadjes",,,,
1030,,"Pulicaria vulgaris","Klein vlooienkruid",,,,
1031,,"Pulmonaria montana","Smal longkruid","x","tttt","VN-17","VN"
1032,,"Pulmonaria officinalis","Gevlekt longkruid",,,,
1033,,"Pyrola minor","Klein wintergroen","zz","tt","BE-10","BE"
1034,,"Pyrola rotundifolia","Rond wintergroen","z","t","KW-7","KW"
1035,,"Pyrus communis","Peer",,,,
1036,,"Quercus petraea","Wintereik",,,,
1037,,"Quercus robur","Zomereik",,,,
1038,,"Radiola linoides","Dwergvlas","zz","ttt","BE-14","BE"
1039,,"Orthilia secunda","Eenzijdig wintergroen","x","tttt","VN-17","VN"
1040,,"Ranunculus acris","Scherpe boterbloem",,,,
1041,,"Ranunculus aquatilis","Fijne waterranonkel",,,,
1042,,"Ranunculus arvensis","Akkerboterbloem","zzz","ttt","EB-13","EB"
1043,,"Ranunculus auricomus","Gulden boterbloem",,,,
1044,,"Ranunculus baudotii","Zilte waterranonkel",,,,
1045,,"Ranunculus bulbosus","Knolboterbloem",,,,
1046,,"Ranunculus circinatus","Stijve waterranonkel",,,,
1047,,"Ranunculus ficaria subsp. bulbilifer","Gewoon speenkruid",,,,
1048,,"Ranunculus flammula","Egelboterbloem",,,,
1049,,"Ranunculus fluitans","Vlottende waterranonkel","zz","tt","BE-10","BE"
1050,,"Ranunculus hederaceus","Klimopwaterranonkel","zz","t","KW-6","KW"
1051,,"Ranunculus lingua","Grote boterbloem",,,,
1052,,"Ranunculus polyanthemos","Bosboterbloem",,,,
1053,,"Ranunculus ololeucos","Witte waterranonkel","zz","tt","BE-10","BE"
1054,,"Ranunculus omiophyllus","Drijvende waterranonkel","x","tttt","VN-17","VN"
1055,,"Ranunculus peltatus","Grote waterranonkel",,,,
1056,,"Ranunculus repens","Kruipende boterbloem",,,,
1057,,"Ranunculus sardous","Behaarde boterbloem",,,,
1058,,"Ranunculus sceleratus","Blaartrekkende boterbloem",,,,
1059,,"Ranunculus tripartitus","Driedelige waterranonkel","x","tttt","VN-17","VN"
1061,,"Raphanus raphanistrum","Knopherik",,,,
1062,,"Reseda lutea","Wilde reseda",,,,
1063,,"Reseda luteola","Wouw",,,,
1064,,"Rhamnus cathartica","Wegedoorn",,,,
1065,,"Rhinanthus alectorolophus","Harige ratelaar","zzz","t","KW-5","KW"
1066,,"Rhinanthus angustifolius","Grote ratelaar",,,,
1067,,"Rhinanthus minor","Kleine ratelaar","a","tt","GE-12","GE"
1068,,"Rhynchospora alba","Witte snavelbies","a","tt","GE-12","GE"
1069,,"Rhynchospora fusca","Bruine snavelbies","a","tt","GE-12","GE"
1070,,"Ribes nigrum","Zwarte bes",,,,
1071,,"Ribes rubrum","Aalbes",,,,
1072,,"Ribes uva-crispa","Kruisbes",,,,
1073,,"Elymus caninus","Hondstarwegras",,,,
1074,,"Rorippa amphibia","Gele waterkers",,,,
1075,,"Rorippa austriaca","Oostenrijkse kers",,,,
1076,,"Rorippa palustris","Moeraskers",,,,
1077,,"Rorippa x anceps","Middelste waterkers",,,,
1078,,"Rorippa sylvestris","Akkerkers",,,,
1080,,"Rosa arvensis","Bosroos",,,,
1083,,"Rosa pimpinellifolia","Duinroosje",,,,
1085,,"Rosa rugosa","Rimpelroos",,,,
1088,,"Rubia tinctorum","Meekrap",,,,
1089,,"Rubus caesius","Dauwbraam",,,,
1091,,"Rubus idaeus","Framboos",,,,
1092,,"Rubus saxatilis","Steenbraam","zzz","tt","BE-9","BE"
1093,,"Rumex acetosa","Veldzuring",,,,
1094,,"Rumex acetosella","Schapezuring",,,,
1095,,"Rumex x pratensis","Bermzuring",,,,
1096,,"Rumex aquaticus","Paardezuring","x","tttt","VN-17","VN"
1097,,"Rumex conglomeratus","Kluwenzuring",,,,
1098,,"Rumex crispus","Krulzuring",,,,
1099,,"Rumex hydrolapathum","Waterzuring",,,,
1100,,"Rumex maritimus","Goudzuring",,,,
1101,,"Rumex obtusifolius","Ridderzuring",,,,
1102,,"Rumex palustris","Moeraszuring",,,,
1103,,"Rumex sanguineus","Bloedzuring",,,,
1104,,"Rumex scutatus","Spaanse zuring","zzz","0/+","GE-1","GE"
1105,,"Rumex obtusifolius subsp. transiens","Ridderzuring (subsp. transiens)",,,,
1106,,"Rumex thyrsiflorus","Geoorde zuring",,,,
1107,,"Ruppia maritima","Snavelruppia","zz","t","KW-6","KW"
1108,,"Ruppia cirrhosa","Spiraalruppia","zzz","tt","BE-9","BE"
1109,,"Sagina apetala","Tengere vetmuur",,,,
1110,,"Sagina maritima","Zeevetmuur",,,,
1111,,"Sagina nodosa","Sierlijke vetmuur","z","tt","KW-11","KW"
1112,,"Sagina procumbens","Liggende vetmuur",,,,
1113,,"Sagina subulata","Priemvetmuur","x","tttt","VN-17","VN"
1114,,"Sagittaria sagittifolia","Pijlkruid",,,,
1115,,"Salicornia europaea + Salicornia procumbens","Kortarige + Langarige zeekraal",,,,
1116,,"Salix alba","Schietwilg",,,,
1117,,"Salix aurita","Geoorde wilg",,,,
1118,,"Salix caprea","Boswilg",,,,
1119,,"Salix cinerea","Grauwe en Rossige wilg",,,,
1120,,"Salix dasyclados","Duitse dot",,,,
1121,,"Salix fragilis","Kraakwilg",,,,
1122,,"Salix pentandra","Laurierwilg",,,,
1123,,"Salix purpurea","Bittere wilg",,,,
1124,,"Salix repens","Kruipwilg",,,,
1125,,"Salix triandra","Amandelwilg",,,,
1126,,"Salix viminalis","Katwilg",,,,
1127,,"Salsola kali subsp. kali","Stekend loogkruid",,,,
1128,,"Salvia pratensis","Veldsalie","zz","t","KW-6","KW"
1129,,"Salvia verbenaca","Kleinbloemige salie","zzz","ttt","EB-13","EB"
1130,,"Salvia verticillata","Kranssalie","zzz","0/+","GE-1","GE"
1131,,"Salvinia natans","Kleine vlotvaren",,,,
1132,,"Sambucus ebulus","Kruidvlier","zzz","tt","BE-9","BE"
1133,,"Sambucus nigra","Gewone vlier",,,,
1134,,"Sambucus racemosa","Trosvlier",,,,
1135,,"Samolus valerandi","Waterpunge",,,,
1136,,"Sanguisorba minor","Kleine pimpernel","z","t","KW-7","KW"
1137,,"Sanguisorba officinalis","Grote pimpernel",,,,
1138,,"Sanicula europaea","Heelkruid","zz","t","KW-6","KW"
1139,,"Saponaria officinalis","Zeepkruid",,,,
1140,,"Cytisus scoparius","Brem",,,,
1141,,"Clinopodium acinos","Kleine steentijm","zz","t","KW-6","KW"
1142,,"Clinopodium menthifolium","Bergsteentijm","zzz","0/+","GE-1","GE"
1143,,"Clinopodium vulgare","Borstelkrans","zz","t","KW-6","KW"
1144,,"Saxifraga granulata","Knolsteenbreek","zz","tt","BE-10","BE"
1145,,"Saxifraga hirculus","Bokjessteenbreek",,,,
1146,,"Saxifraga tridactylites","Kandelaartje",,,,
1147,,"Scabiosa columbaria","Duifkruid","zz","ttt","BE-14","BE"
1148,,"Scandix pecten-veneris","Naaldekervel","zzz","ttt","EB-13","EB"
1149,,"Scheuchzeria palustris","Veenbloembies","zzz","ttt","EB-13","EB"
1150,,"Schoenus nigricans","Knopbies","zz","t","KW-6","KW"
1151,,"Scilla non-scripta","Wilde hyacint",,,,
1152,,"Schoenoplectus pungens","Stekende bies","zzz","ttt","EB-13","EB"
1153,,"Trichophorum cespitosum subsp. germanicum","Gewone veenbies","a","tt","GE-12","GE"
1154,,"Eleogiton fluitans","Vlottende bies","z","t","KW-7","KW"
1155,,"Schoenoplectus lacustris","Mattenbies",,,,
1156,,"Bolboschoenus maritimus","Heen",,,,
1157,,"Blysmus compressus","Platte bies","zz","t","KW-6","KW"
1158,,"Blysmus rufus","Rode bies","zzz","0/+","GE-1","GE"
1159,,"Isolepis setacea","Borstelbies",,,,
1160,,"Scirpus sylvaticus","Bosbies",,,,
1161,,"Schoenoplectus tabernaemontani","Ruwe bies",,,,
1162,,"Schoenoplectus triqueter","Driekantige bies","zz","tt","BE-10","BE"
1163,,"Scleranthus annuus","Eenjarige hardbloem",,,,
1164,,"Scleranthus perennis","Overblijvende hardbloem","zzz","ttt","EB-13","EB"
1165,,"Scleranthus polycarpos","Kleine hardbloem",,,,
1166,,"Scorzonera humilis","Kleine schorseneer","zzz","tt","BE-9","BE"
1167,,"Scrophularia auriculata","Geoord helmkruid",,,,
1168,,"Scrophularia canina","Hondshelmkruid",,,,
1169,,"Scrophularia umbrosa subsp. neesii","Middelst helmkruid",,,,
1170,,"Scrophularia nodosa","Knopig helmkruid",,,,
1171,,"Scrophularia umbrosa subsp. umbrosa","Rivierhelmkruid",,,,
1172,,"Scrophularia vernalis","Voorjaarshelmkruid",,,,
1173,,"Scutellaria galericulata","Blauw glidkruid",,,,
1174,,"Scutellaria minor","Klein glidkruid","zz","tt","BE-10","BE"
1175,,"Sedum acre","Muurpeper",,,,
1176,,"Sedum album","Wit vetkruid",,,,
1177,,"Sedum cepaea","Omgebogen vetkruid",,,,
1178,,"Sedum telephium subsp. maximum","Bleke hemelsleutel",,,,
1179,,"Sedum telephium subsp. telephium","Gewone hemelsleutel",,,,
1180,,"Sedum reflexum","Tripmadam","zz","tt","BE-10","BE"
1181,,"Sedum sexangulare","Zacht vetkruid",,,,
1182,,"Selinum carvifolia","Karwijselie","zzz","tt","BE-9","BE"
1183,,"Senecio aquaticus","Waterkruiskruid",,,,
1184,,"Tephroseris palustris","Moerasandijvie",,,,
1185,,"Senecio erucifolius","Viltig kruiskruid",,,,
1186,,"Senecio fluviatilis","Rivierkruiskruid",,,,
1187,,"Senecio ovatus","Schaduwkruiskruid",,,,
1189,,"Senecio paludosus","Moeraskruiskruid",,,,
1190,,"Senecio sylvaticus","Boskruiskruid",,,,
1191,,"Senecio viscosus","Kleverig kruiskruid",,,,
1192,,"Senecio vulgaris","Klein kruiskruid",,,,
1193,,"Serratula tinctoria","Zaagblad","x","tttt","VN-17","VN"
1194,,"Sesleria albicans","Blauwgras","x","tttt","VN-17","VN"
1195,,"Setaria pumila","Geelrode naaldaar",,,,
1196,,"Setaria verticillata","Kransnaaldaar",,,,
1197,,"Setaria viridis","Groene naaldaar",,,,
1198,,"Sherardia arvensis","Blauw walstro","z","ttt","KW-15","KW"
1199,,"Danthonia decumbens","Tandjesgras",,,,
1200,,"Silaum silaus","Weidekervel","zzz","t","KW-5","KW"
1201,,"Silene armeria","Pekbloem",,,,
1202,,"Silene conica","Kegelsilene",,,,
1203,,"Silene gallica","Franse silene","zzz","ttt","EB-13","EB"
1204,,"Silene nutans","Nachtsilene",,,,
1205,,"Silene otites","Oorsilene","zz","t","KW-6","KW"
1206,,"Silene vulgaris","Blaassilene",,,,
1207,,"Sinapis arvensis","Herik",,,,
1208,,"Sisymbrium altissimum","Hongaarse raket",,,,
1209,,"Sisymbrium irio","Brede raket",,,,
1210,,"Sisymbrium loeselii","Spiesraket",,,,
1211,,"Sisymbrium officinale","Gewone raket",,,,
1212,,"Sisymbrium orientale","Oosterse raket",,,,
1213,,"Sisymbrium austriacum (subsp. chrysanthum)","Maasraket",,,,
1214,,"Sisymbrium supinum","Liggende raket","x","tttt","VN-17","VN"
1215,,"Berula erecta","Kleine watereppe",,,,
1216,,"Sium latifolium","Grote watereppe",,,,
1217,,"Smyrnium olusatrum","Zwartmoeskervel",,,,
1218,,"Solanum dulcamara","Bitterzoet",,,,
1219,,"Solanum nigrum subsp. nigrum","Zwarte nachtschade s.s.",,,,
1220,,"Solanum triflorum","Driebloemige nachtschade",,,,
1221,,"Solidago gigantea","Late guldenroede",,,,
1222,,"Solidago virgaurea","Echte guldenroede","z","tt","KW-11","KW"
1223,,"Sonchus arvensis var. arvensis","Akkermelkdistel s.s.",,,,
1224,,"Sonchus asper","Gekroesde melkdistel",,,,
1225,,"Sonchus oleraceus","Gewone melkdistel",,,,
1226,,"Sonchus palustris","Moerasmelkdistel",,,,
1227,,"Sorbus aucuparia","Wilde lijsterbes",,,,
1228,,"Sparganium angustifolium","Drijvende egelskop","zzz","tt","BE-9","BE"
1229,,"Sparganium erectum","Grote egelskop s.l.",,,,
1230,,"Sparganium natans","Kleinste egelskop","zz","ttt","BE-14","BE"
1231,,"Sparganium emersum","Kleine egelskop",,,,
1232,,"Spartina maritima","Klein slijkgras","zzz","ttt","EB-13","EB"
1233,,"Spartina anglica","Engels slijkgras",,,,
1234,,"Spergula arvensis","Gewone spurrie",,,,
1235,,"Spergula morisonii","Heidespurrie",,,,
1236,,"Spergularia media (subsp. angustata)","Gerande schijnspurrie",,,,
1237,,"Spergularia rubra","Rode schijnspurrie",,,,
1238,,"Spergularia marina","Zilte schijnspurrie",,,,
1239,,"Spiranthes aestivalis","Zomerschroeforchis","x","tttt","VN-17","VN"
1240,,"Spiranthes spiralis","Herfstschroeforchis","zzz","ttt","EB-13","EB"
1241,,"Spirodela polyrhiza","Veelwortelig kroos",,,,
1242,,"Stachys annua","Zomerandoorn",,,,
1243,,"Stachys arvensis","Akkerandoorn","z","ttt","KW-15","KW"
1244,,"Stachys officinalis","Betonie","zzz","tt","BE-9","BE"
1245,,"Stachys palustris","Moerasandoorn",,,,
1246,,"Stachys sylvatica","Bosandoorn",,,,
1247,,"Stellaria uliginosa","Moerasmuur",,,,
1248,,"Stellaria graminea","Grasmuur",,,,
1249,,"Stellaria holostea","Grote muur",,,,
1250,,"Stellaria media","Vogelmuur",,,,
1251,,"Stellaria neglecta","Heggevogelmuur",,,,
1252,,"Stellaria pallida","Duinvogelmuur",,,,
1253,,"Stellaria nemorum","Bosmuur",,,,
1254,,"Stellaria palustris","Zeegroene muur",,,,
1255,,"Stratiotes aloides","Krabbescheer","a","tt","GE-12","GE"
1256,,"Suaeda maritima","Schorrekruid",,,,
1257,,"Subularia aquatica","Priemkruid",,,,
1258,,"Succisa pratensis","Blauwe knoop","a","tt","GE-12","GE"
1259,,"Symphytum officinale","Gewone smeerwortel",,,,
1260,,"Tanacetum vulgare","Boerenwormkruid",,,,
1261,,"Taraxacum laevigatum","Zandpaardebloem",,,,
1262,,"Taraxacum celticum","Schraallandpaardebloem","z","t","KW-7","KW"
1263,,"Taraxacum obliquum","Oranjegele paardebloem",,,,
1264,,"Taraxacum officinale","Gewone paardebloem",,,,
1265,,"Taraxacum palustre","Moeraspaardebloem","zz","tt","BE-10","BE"
1267,,"Taxus baccata","Taxus",,,,
1268,,"Teesdalia nudicaulis","Klein tasjeskruid",,,,
1269,,"Teucrium botrys","Trosgamander","zzz","ttt","EB-13","EB"
1270,,"Teucrium chamaedrys subsp. germanicum","Echte gamander s.s.","zzz","ttt","EB-13","EB"
1271,,"Teucrium montanum","Berggamander","zzz","ttt","EB-13","EB"
1272,,"Teucrium scordium","Moerasgamander","zzz","tt","BE-9","BE"
1273,,"Teucrium scorodonia","Valse salie",,,,
1275,,"Thalictrum flavum","Poelruit",,,,
1278,,"Thesium humifusum","Liggend bergvlas","zzz","ttt","EB-13","EB"
1279,,"Thesium pyrenaicum","Weidebergvlas",,,,
1280,,"Thlaspi caerulescens","Zinkboerenkers","zzz","t","KW-5","KW"
1281,,"Thlaspi arvense","Witte krodde",,,,
1282,,"Thlaspi perfoliatum","Doorgroeide boerenkers","zzz","0/+","GE-1","GE"
1283,,"Thymus pulegioides","Grote tijm","z","t","KW-7","KW"
1284,,"Thymus serpyllum","Wilde tijm","zz","tt","BE-10","BE"
1285,,"Tilia cordata","Winterlinde",,,,
1286,,"Tilia platyphyllos","Zomerlinde",,,,
1287,,"Crassula tillaea","Mosbloempje","zzz","0/+","GE-1","GE"
1288,,"Torilis arvensis","Akkerdoornzaad","zzz","tt","BE-9","BE"
1289,,"Torilis japonica","Heggedoornzaad",,,,
1290,,"Torilis nodosa","Knopig doornzaad","z","t","KW-7","KW"
1292,,"Tragopogon pratensis subsp. orientalis","Oosterse morgenster","zz","tt","BE-10","BE"
1293,,"Tragopogon porrifolius","Paarse morgenster",,,,
1295,,"Trientalis europaea","Zevenster",,,,
1296,,"Trifolium arvense","Hazepootje",,,,
1297,,"Trifolium aureum","Akkerklaver",,,,
1298,,"Trifolium campestre","Liggende klaver",,,,
1299,,"Trifolium dubium","Kleine klaver",,,,
1300,,"Trifolium fragiferum","Aardbeiklaver",,,,
1301,,"Trifolium hybridum","Basterdklaver",,,,
1302,,"Trifolium medium","Bochtige klaver","zz","t","KW-6","KW"
1303,,"Trifolium micranthum","Draadklaver","zz","t","KW-6","KW"
1304,,"Trifolium ornithopodioides","Vogelpootklaver","zzz","0/+","GE-1","GE"
1305,,"Trifolium pratense","Rode klaver",,,,
1306,,"Trifolium repens","Witte klaver",,,,
1307,,"Trifolium scabrum","Ruwe klaver",,,,
1308,,"Trifolium striatum","Gestreepte klaver",,,,
1309,,"Trifolium subterraneum","Onderaardse klaver","zzz","t","KW-5","KW"
1310,,"Triglochin maritima","Schorrezoutgras",,,,
1311,,"Triglochin palustris","Moeraszoutgras",,,,
1312,,"Trisetum flavescens","Goudhaver","a","tt","GE-12","GE"
1313,,"Tuberaria guttata","Gevlekt zonneroosje","zzz","ttt","EB-13","EB"
1314,,"Tulipa sylvestris","Bostulp",,,,
1315,,"Arabis glabra","Torenkruid","zzz","tt","BE-9","BE"
1316,,"Tussilago farfara","Klein hoefblad",,,,
1317,,"Typha angustifolia","Kleine lisdodde",,,,
1318,,"Typha latifolia","Grote lisdodde",,,,
1319,,"Ulex europaeus","Gaspeldoorn","z","t","KW-7","KW"
1320,,"Ulmus minor","Gladde iep",,,,
1321,,"Urtica dioica","Grote brandnetel",,,,
1322,,"Urtica urens","Kleine brandnetel",,,,
1323,,"Utricularia intermedia","Plat blaasjeskruid","zzz","t","KW-5","KW"
1324,,"Utricularia minor","Klein blaasjeskruid","z","t","KW-7","KW"
1325,,"Utricularia australis","Loos blaasjeskruid",,,,
1326,,"Utricularia ochroleuca","Bleekgeel blaasjeskruid","x","tttt","VN-17","VN"
1327,,"Utricularia vulgaris","Groot blaasjeskruid",,,,
1328,,"Vaccaria hispanica","Koekruid",,,,
1329,,"Vaccinium myrtillus","Blauwe bosbes",,,,
1330,,"Vaccinium uliginosum","Rijsbes","zzz","tt","BE-9","BE"
1331,,"Vaccinium vitis-idaea","Rode bosbes",,,,
1332,,"Valeriana dioica","Kleine valeriaan","z","ttt","KW-15","KW"
1333,,"Valeriana officinalis","Echte valeriaan",,,,
1334,,"Valerianella carinata","Gegroefde veldsla","zzz","0/+","GE-1","GE"
1335,,"Valerianella dentata","Getande veldsla","zzz","ttt","EB-13","EB"
1336,,"Valerianella locusta","Gewone veldsla",,,,
1337,,"Valerianella rimosa","Geoorde veldsla","x","tttt","VN-17","VN"
1338,,"Verbascum blattaria","Mottenkruid",,,,
1339,,"Verbascum lychnitis","Melige toorts",,,,
1340,,"Verbascum nigrum","Zwarte toorts",,,,
1341,,"Verbascum phlomoides","Keizerskaars",,,,
1342,,"Verbascum densiflorum","Stalkaars",,,,
1343,,"Verbascum thapsus","Koningskaars",,,,
1344,,"Verbena officinalis","IJzerhard",,,,
1345,,"Veronica agrestis","Akkerereprijs",,,,
1346,,"Veronica anagallis-aquatica","Blauwe waterereprijs",,,,
1347,,"Veronica arvensis","Veldereprijs",,,,
1348,,"Veronica austriaca subsp. austriaca","Subsp. austriaca van Brede ereprijs",,,,
1349,,"Veronica beccabunga","Beekpunge",,,,
1350,,"Veronica catenata","Rode waterereprijs",,,,
1351,,"Veronica chamaedrys","Gewone ereprijs",,,,
1352,,"Veronica hederifolia","Klimopereprijs",,,,
1353,,"Veronica longifolia","Lange ereprijs",,,,
1354,,"Veronica montana","Bosereprijs",,,,
1355,,"Veronica officinalis","Mannetjesereprijs",,,,
1356,,"Veronica opaca","Doffe ereprijs","zz","t","KW-6","KW"
1357,,"Veronica peregrina","Vreemde ereprijs",,,,
1358,,"Veronica persica","Grote ereprijs",,,,
1359,,"Veronica polita","Gladde ereprijs",,,,
1360,,"Veronica praecox","Vroege ereprijs","zzz","ttt","EB-13","EB"
1361,,"Veronica prostrata","Liggende ereprijs","zzz","ttt","EB-13","EB"
1362,,"Veronica scutellata","Schildereprijs",,,,
1363,,"Veronica serpyllifolia","Tijmereprijs",,,,
1364,,"Veronica austriaca subsp. teucrium","Brede ereprijs s.s.","zzz","tt","BE-9","BE"
1365,,"Veronica triphyllos","Handjesereprijs","zzz","ttt","EB-13","EB"
1366,,"Veronica verna","Kleine ereprijs","zzz","tt","BE-9","BE"
1367,,"Viburnum opulus","Gelderse roos",,,,
1368,,"Vicia sativa subsp. nigra","Smalle wikke s.s.",,,,
1369,,"Vicia cracca","Vogelwikke",,,,
1370,,"Vicia hirsuta","Ringelwikke",,,,
1371,,"Vicia lathyroides","Lathyruswikke",,,,
1372,,"Vicia sativa subsp. sativa","Voederwikke",,,,
1373,,"Vicia sepium","Heggewikke",,,,
1374,,"Vicia tetrasperma subsp. gracilis","Slanke wikke","zzz","ttt","EB-13","EB"
1375,,"Vicia tetrasperma subsp. tetrasperma","Vierzadige wikke s.s.",,,,
1377,,"Vinca minor","Kleine maagdenpalm",,,,
1378,,"Viola arvensis","Akkerviooltje",,,,
1379,,"Viola lutea (subsp. calaminaria)","Zinkviooltje","zzz","ttt","EB-13","EB"
1380,,"Viola canina","Hondsviooltje","a","tt","GE-12","GE"
1381,,"Viola curtisii","Duinviooltje",,,,
1382,,"Viola hirta","Ruig viooltje",,,,
1384,,"Viola odorata","Maarts viooltje",,,,
1385,,"Viola palustris","Moerasviooltje",,,,
1386,,"Viola reichenbachiana","Donkersporig bosviooltje",,,,
1387,,"Viola riviniana","Bleeksporig bosviooltje",,,,
1388,,"Viola rupestris","Zandviooltje",,,,
